feature	importance
hs3st3b1	0.0006538565508873272
fam20a	0.0006525100613446975
maneal	0.000652272215663766
klf4	0.0006517400364284205
itgb6	0.0006487099529369801
cgref1	0.0006469696331721287
jam2	0.00064696147537999
lpa	0.0006449242964812627
f11	0.0006444557109784569
dkk3	0.000643545998014024
chad	0.0006419779711922299
klk3	0.0006415483554233372
cd109	0.0006405269918348912
klk4	0.0006392158247433228
amigo2	0.0006389983784812733
tctn3	0.0006364324946885857
slc12a2	0.0006356570234650534
sdc4	0.0006350647344981624
gusb	0.0006344376167749841
cntnap2	0.0006315726089931437
apol1	0.000628571741288424
pla2g10	0.0006271861043143982
cntn5	0.0006255443415788953
cd58	0.0006137716316274974
evi2b	0.0006121868473778524
vcan	0.0006107242440319299
il17ra	0.0006085418944840079
galnt5	0.0006046583089556767
gdf15	0.0006027641926247023
defb118	0.000601764247755887
ambn	0.0005994758142577703
chchd6	0.0005991066288996278
amy2a	0.0005982155632357527
jchain	0.0005953784411975551
obp2b	0.0005922899371944665
tnr	0.0005885684545254772
fgf19	0.0005840704226020176
krt19	0.0005832652794391945
tspan8	0.0005832263624130185
chrdl1	0.0005816940102492651
ntf3	0.0005813090133567537
boc	0.0005812448595008126
cfhr2	0.0005795597902986511
angptl4	0.0005776612402287743
crlf1	0.0005773037661918085
plin1	0.0005729133087197035
selenop	0.0005677093582512991
eda2r	0.0005672304457665336
pros1	0.0005662014333285569
tgoln2	0.0005621021580830246
tnfrsf9	0.0005611756765456233
lgals9	0.0005610326027863103
cd6	0.0005602365477596412
spink1	0.0005585844937701667
ccl22	0.0005564313254744585
siglec6	0.0005554809476383656
rspo1	0.0005553839412988325
fcgr3b	0.0005553195287817346
il17rb	0.000554482842773466
apoe	0.000553992233806186
ccl19	0.0005536225778571664
erbb4	0.0005468812913015855
cxcl14	0.0005466475185628784
tlr2	0.0005440117847980926
tek	0.0005411035209022449
fbp1	0.0005404755678140743
vstm2b	0.0005404233586378253
muc2	0.0005397314250139368
gnly	0.000537604878433243
cntf	0.0005345190967643068
jun	0.0005337885473374967
nptx2	0.0005327437600233246
ptprn2	0.0005318419630215883
islr2	0.0005294880379298601
klk1	0.0005286575283339381
proc	0.0005264736325514915
serpinf2	0.0005253182657453865
ccl25	0.0005240849199497514
adamtsl2	0.0005236661520965992
fmnl1	0.0005208150094967006
npy	0.0005192912775997456
mslnl	0.0005180549154896053
chl1	0.000517502681748389
edn1	0.000515193577431224
fcrl1	0.0005137007743937655
crtac1	0.0005124407857366258
rida	0.00050923206381643
dpp10	0.0005075515311998011
mrpl52	0.0005065660899196232
ca5a	0.0005060238218204682
clec5a	0.0005049485032463875
mep1b	0.0005041060334100708
tagln3	0.0005031872203958915
nmnat1	0.000502780427287545
tp53bp1	0.0005013263286348923
ptp4a3	0.0004981931142057964
tnfsf13b	0.0004958160875713628
il36g	0.0004952739015832148
amy2b	0.0004942024493240905
dpep1	0.0004941826338193077
iglc2	0.0004939990881835425
tff1	0.0004915602652090216
lifr	0.0004903581252687233
ank2	0.0004902290572591835
adamts8	0.0004886254153543284
gpd1	0.0004866406710772487
cgb3_cgb5_cgb8	0.0004865717102362617
tnfrsf10a	0.0004858545987696387
fga	0.0004856974124321502
frzb	0.00048567752015947404
gga1	0.00048462500774720243
ckb	0.0004837537578004173
phldb2	0.0004830559347033846
tspan1	0.0004827689891353562
ankra2	0.00048228880771403177
fgfbp2	0.0004818641993685705
pvr	0.000480217180057011
xpnpep2	0.0004798595436475678
nrcam	0.0004791584217550187
serpina7	0.00047915412766699094
amfr	0.00047803932290632205
cpvl	0.00047791092706718925
skiv2l	0.0004777954166715138
timd4	0.00047711347511237965
ppp1r14d	0.0004768521649952691
heg1	0.00047637319647929474
dmp1	0.0004760029135291543
nagpa	0.0004758859190344549
f2	0.0004740222303248503
smpdl3a	0.0004733634545272803
matn2	0.0004725929346926614
dcc	0.00047244127954207914
pnma2	0.0004713217565982634
sell	0.00046953424604162666
ece1	0.0004670833949965451
bche	0.00046691254830803005
rbp1	0.00046633196927259676
eln	0.0004657231921323571
mmp13	0.0004651086814601209
agrp	0.00046502697725335284
il22ra1	0.0004645943885691815
pon3	0.00046427138667742135
hip1r	0.0004635292908482442
clec4c	0.00046156569564470654
amy1a_amy1b_amy1c	0.0004610444436054558
hif1a	0.0004593998623326656
lrp11	0.000458990734701897
cela3a	0.0004576301145649121
treh	0.0004570317610514559
pkd1	0.0004566767229459062
pspn	0.0004563138400259741
cd207	0.0004553404711011641
stab2	0.00045463519158582376
msmb	0.0004527900274580455
sele	0.00045260120720999505
stx7	0.0004518641638231836
il18bp	0.00045003956341356564
cd99	0.00044961177510012725
serpina9	0.00044945844722221376
cdan1	0.0004486260261105629
fam3b	0.0004482449359116108
dkkl1	0.0004466447411299959
ly75	0.00044594982660407686
il13ra1	0.000445679457455599
cspg5	0.0004456302509915151
hgfac	0.00044489079611422243
clec3b	0.0004441444443348705
wfikkn1	0.0004432876050036355
otoa	0.0004421371613448849
tyrp1	0.00044189867195245427
cd3g	0.0004413287829114507
dnaja4	0.00043892588706379194
scgb1a1	0.0004388755654557015
spink4	0.00043859235334895894
timp4	0.00043856299734572075
gpa33	0.00043846846066024716
f9	0.00043831423934617686
rac3	0.00043820971707974666
tnfrsf11a	0.00043727799609344576
mln	0.0004371619809245478
fgf9	0.00043679141370331484
sparcl1	0.00043677524992617484
serpina1	0.0004362038169971143
cd4	0.00043399033447475257
ca6	0.0004338215997054285
mfge8	0.0004329749495833738
cfb	0.00043290951102047977
il17a	0.0004324900013806244
cplx2	0.00043173809563600165
col4a4	0.0004310461293467206
tnni3	0.00043097375087033327
prr4	0.0004301489989265226
fst	0.0004294955184897442
apom	0.00042933069216540785
tppp2	0.0004283470529307252
ndufa5	0.00042825421141247144
cd22	0.000428153487360154
arid4b	0.0004278381571142086
pnliprp2	0.0004277690844977487
lilra3	0.0004274709358791018
tinagl1	0.0004271900833139359
fabp1	0.0004271599422220334
pxn	0.00042666235194853083
lpo	0.00042638097682841863
gad1	0.00042307784694962843
reg4	0.00042300769500745657
tpsab1	0.0004225584598341738
adipoq	0.0004224827621978403
igf1r	0.00042243557069100506
il6	0.0004215904189426535
adam23	0.0004215546045178062
ctla4	0.0004207586384591123
abca2	0.00042037834462809343
ddx39a	0.0004202583747160472
morf4l2	0.00041992539318188655
unc79	0.0004196375672946686
immt	0.00041962983080261077
fabp2	0.00041892936767750884
gcg	0.0004188599616650717
bmp10	0.0004185256109499617
spink6	0.0004182954589063118
adh4	0.00041790294216407196
enpp6	0.0004157683328550867
mansc1	0.00041575641597873126
ccl18	0.0004157284441360679
agr3	0.0004155659399376139
fut3_fut5	0.00041509704772311475
c8b	0.0004144848677227688
folr3	0.00041364396602239527
btd	0.0004130655579905421
