feature	importance
adcyap1r1	0.0005305921934229965
cd6	0.0005304228296848056
jun	0.0005303217036672353
smoc2	0.0005301012391574889
calca	0.0005300990367371289
vcan	0.000529817275004962
scp2	0.0005288840637968152
serpina7	0.0005283710784917896
lrrfip1	0.0005283314127070552
jam2	0.0005282856993238681
fes	0.0005278335812493275
atp6v1g2	0.0005275885250121357
mdk	0.0005274251066553496
dner	0.000527154980381374
igfbp4	0.0005260675609383803
plaur	0.0005257775021801221
eps8l2	0.0005252220085200129
il31ra	0.0005252134875150522
omg	0.0005249084497977504
podxl	0.0005242663677420215
fcar	0.000522131333580609
ccn5	0.0005204093929776835
il34	0.0005203979712686083
siglec6	0.0005187331263855075
csf1	0.0005187004371229511
ctsc	0.0005186794924592715
il12rb2	0.0005186148121033603
pde4d	0.000518449259614721
ifngr1	0.0005183352544253377
lrig1	0.0005182224315497577
pard3	0.0005179676016207264
omd	0.0005175243484636614
ccl16	0.0005174156861575018
btn2a1	0.0005173475719687765
cnpy2	0.0005165411537548921
fmnl1	0.0005163414886703582
jchain	0.0005157050753863452
ptprr	0.0005157034227024162
vim	0.0005150151299906882
clec14a	0.0005146916061584265
gfra3	0.0005146450442028339
enah	0.0005146377436445565
vsig2	0.0005142071783048205
rgmb	0.0005134076537245902
cntn5	0.0005126494193810407
bsg	0.0005126376948035605
il5ra	0.0005120569482069716
olfm4	0.0005117725869381986
csf2ra	0.0005102873151904712
icam2	0.0005092432526468975
pcsk9	0.0005090828204776384
wars	0.0005087490973257247
lepr	0.0005082587416466407
pdgfrb	0.0005073035432726242
ntrk3	0.0005070621891245551
ptprh	0.0005069408387537945
fabp4	0.0005064613315162119
nbn	0.0005061042143648221
grn	0.0005059810705105571
msln	0.0005059296183779716
pcdh17	0.0005058729396351283
s100a12	0.000505023350914359
clul1	0.0005047697521425063
angptl3	0.0005047477516146555
ly96	0.0005045312708771136
pnma2	0.0005043809305582584
fgfbp1	0.0005029412942886843
rnf4	0.0005028629578786247
lgals3	0.0005012194818775274
fabp9	0.0005009859299326653
ocln	0.0005008539325654078
mmp8	0.0005007487266783583
l1cam	0.0005006355791667838
msr1	0.0004999813663614549
f2	0.0004981542086021988
fmr1	0.0004981255631120922
m6pr	0.0004980090536238369
tnfrsf10a	0.0004962028209955745
artn	0.0004956412205819454
lair1	0.0004953640894451111
glo1	0.0004953048997759165
nrxn3	0.0004949846888687103
lto1	0.0004949139972527727
bcl7a	0.0004945817621157164
cxcl12	0.0004945440319563065
clps	0.0004939563308068108
man1a2	0.0004938189546490356
lpl	0.0004937843172445849
cd101	0.0004934016137846942
ambn	0.000492242833528251
thap12	0.0004919196174304521
nptxr	0.0004914661076706764
cd300lf	0.0004908535026066767
chit1	0.0004908243289186737
gpihbp1	0.0004902808149488824
ret	0.0004902652137269094
kir3dl1	0.0004899761507250609
lilra5	0.0004898146928823443
get3	0.0004896983181557882
cd70	0.0004890770939561509
adgrg1	0.000489022718583466
rln1	0.0004890125028702585
vstm2l	0.0004887168655922255
il13	0.0004885933323656899
spink4	0.00048770708613131544
gcg	0.00048760449847866323
ncam1	0.0004861111531367867
ddi2	0.00048587076581560625
c5	0.00048529935076916986
txndc15	0.0004845408105545256
tg	0.0004845158439550879
vtcn1	0.00048448999664128974
anxa10	0.0004842982807896663
cdh15	0.0004842090875224575
dpp6	0.0004841121789826391
lamp2	0.0004837561415722844
sez6l2	0.0004835110555973048
eda2r	0.000483240160944504
smarca2	0.0004825457539408884
fcrl3	0.00048253956220437445
mme	0.00048252962874581424
il3ra	0.0004820097544481877
ceacam8	0.00048124685104322987
mmut	0.0004810830199442694
pten	0.0004809683981673422
cep164	0.00048083503217070933
scg2	0.00048047457334007897
igf1r	0.0004799369817817868
wfdc12	0.0004798221592227595
